,Area,Perimeter,MajorAxisLength,MinorAxisLength,roundnes,Class
125,0.02793177,0.029423305,0.061003091,0.080352763,0.910938652,SIRA
126,0.02797619,0.046294293,0.112325236,0.041591497,0.876723572,SIRA
127,0.028411514,0.04032185,0.093560687,0.05032429,0.889912971,SIRA
128,0.028997868,0.070849347,0.059925539,0.082678865,0.832855502,SIRA
129,0.029371002,0.046305612,0.100330413,0.047922014,0.880671477,SIRA
130,0.029699716,0.043528784,0.098456164,0.049989331,0.887156025,SIRA
131,0.02996624,0.0531106,0.130165116,0.023761218,0.868974144,SIRA
132,0.029984009,0.049238385,0.099647796,0.051005397,0.876606898,SIRA
133,0.030410448,0.042464837,0.05576045,0.092597192,0.8913367,SIRA
134,0.030836887,0.041051271,0.075644049,0.074143769,0.895426767,SIRA
135,0.031609808,0.049733887,0.088897564,0.06943979,0.880223238,SIRA
136,0.032071784,0.044201612,0.112888523,0.042823472,0.892590919,SIRA
137,0.032125089,0.030185424,0.062875249,0.08734684,0.92172652,SIRA
138,0.032276119,0.055063686,0.102281943,0.054335583,0.871633912,SIRA
139,0.032835821,0.054344327,0.11507327,0.042482557,0.874600979,SIRA
140,0.033137882,0.048135451,0.126615644,0.034198483,0.8877254,SIRA
141,0.033511016,0.069259714,0.138281141,0.02449659,0.847975719,SIRA
142,0.034301706,0.036818118,0.070959762,0.08673275,0.914168443,SIRA
143,0.034870291,0.060583385,0.111693117,0.054954946,0.868136777,SIRA
144,0.035083511,0.055034761,0.128189868,0.037348068,0.879526324,SIRA
145,0.035154584,0.054343069,0.107685836,0.05543199,0.881085662,SIRA
146,0.035421109,0.056567801,0.092224668,0.070606922,0.877460939,SIRA
147,0.035909737,0.050348864,0.084606312,0.077750885,0.89113674,SIRA
148,0.035989694,0.053353321,0.095985731,0.071205348,0.885378334,SIRA
149,0.036549396,0.056052176,0.09379622,0.071731041,0.881612997,SIRA
