,Unnamed: 0,Area,Perimeter,MajorAxisLength,MinorAxisLength,roundnes,Class
88,88,0.240893746,0.329900447,0.384629978,0.2612106,0.851127803,1
89,89,0.241835466,0.345322655,0.445958254,0.211205499,0.830626927,1
90,90,0.242563966,0.345156649,0.43786887,0.223161558,0.832019458,1
91,91,0.243052594,0.373278317,0.466138886,0.2032761,0.794646218,1
92,92,0.243798863,0.337571936,0.421479079,0.23043558,0.844761475,1
93,93,0.244491827,0.329783488,0.37797152,0.270774048,0.857178108,1
94,94,0.244509595,0.331252389,0.410509633,0.244669353,0.855058809,1
95,95,0.245771144,0.335471709,0.390299694,0.259973538,0.850974353,1
96,96,0.245993248,0.365176721,0.449326751,0.210044141,0.809891542,1
97,97,0.247148188,0.342835081,0.385755879,0.265058747,0.842615415,1
98,98,0.247201493,0.347321015,0.396319886,0.260247029,0.836346064,1
99,99,0.247583511,0.330385888,0.415747095,0.241655409,0.86134348,1
100,100,0,0.010733797,0.069307513,0,0.865098731,2
101,101,0.002061123,0.004789021,0.033557061,0.049005137,0.883771295,2
102,102,0.011886994,0,0,0.099192809,0.925011278,2
103,103,0.014756574,0.002995654,0.023346909,0.081565733,0.927479302,2
104,104,0.014987562,0.01549012,0.085653907,0.024228755,0.901298102,2
105,105,0.015982587,0.026118277,0.07710011,0.033070627,0.88228562,2
106,106,0.017261905,0.027455128,0.103186094,0.014746478,0.88337049,2
107,107,0.017537313,0.019343471,0.061808688,0.053176836,0.900955615,2
108,108,0.017954869,0.037235648,0.077179116,0.040030409,0.865800929,2
109,109,0.018372424,0.005620309,0.021416288,0.09544353,0.933038657,2
110,110,0.018532338,0.024005473,0.082280885,0.036729154,0.894241964,2
111,111,0.018789979,0.003048474,0.028904472,0.087024523,0.940052172,2
112,112,0.01919865,0.018844196,0.072988819,0.046312546,0.907039273,2
113,113,0.019722814,0.023639505,0.071688897,0.049325813,0.898568612,2
114,114,0.0210199,0.014985814,0.037867253,0.084633378,0.92081297,2
115,115,0.022316986,0.029799334,0.10351719,0.026594454,0.893556882,2
116,116,0.022921109,0.002581896,0.012927952,0.116217057,0.954104179,2
117,117,0.023036603,0.032313319,0.079299737,0.04980119,0.890529798,2
118,118,0.023338664,0.152515494,0.045151922,0.083819166,0.688618305,2
119,119,0.023720682,0.024078415,0.049718171,0.07858796,0.909628874,2
120,120,0.024156006,0.038660533,0.071769972,0.059723464,0.880955642,2
121,121,0.024191542,0.017576514,0.045016719,0.088146871,0.924902194,2
122,122,0.026119403,0.038099634,0.066132751,0.069747857,0.887774832,2
123,123,0.027309879,0.036994185,0.084481651,0.056503623,0.893474724,2
124,124,0.027771855,0.043067237,0.082631533,0.062427799,0.882555487,2
125,125,0.02793177,0.029423305,0.061003091,0.080352763,0.910938652,2
126,126,0.02797619,0.046294293,0.112325236,0.041591497,0.876723572,2
127,127,0.028411514,0.04032185,0.093560687,0.05032429,0.889912971,2
128,128,0.028997868,0.070849347,0.059925539,0.082678865,0.832855502,2
129,129,0.029371002,0.046305612,0.100330413,0.047922014,0.880671477,2
130,130,0.029699716,0.043528784,0.098456164,0.049989331,0.887156025,2
131,131,0.02996624,0.0531106,0.130165116,0.023761218,0.868974144,2
132,132,0.029984009,0.049238385,0.099647796,0.051005397,0.876606898,2
133,133,0.030410448,0.042464837,0.05576045,0.092597192,0.8913367,2
134,134,0.030836887,0.041051271,0.075644049,0.074143769,0.895426767,2
135,135,0.031609808,0.049733887,0.088897564,0.06943979,0.880223238,2
136,136,0.032071784,0.044201612,0.112888523,0.042823472,0.892590919,2
137,137,0.032125089,0.030185424,0.062875249,0.08734684,0.92172652,2
138,138,0.032276119,0.055063686,0.102281943,0.054335583,0.871633912,2
139,139,0.032835821,0.054344327,0.11507327,0.042482557,0.874600979,2
140,140,0.033137882,0.048135451,0.126615644,0.034198483,0.8877254,2
141,141,0.033511016,0.069259714,0.138281141,0.02449659,0.847975719,2
142,142,0.034301706,0.036818118,0.070959762,0.08673275,0.914168443,2
143,143,0.034870291,0.060583385,0.111693117,0.054954946,0.868136777,2
144,144,0.035083511,0.055034761,0.128189868,0.037348068,0.879526324,2
145,145,0.035154584,0.054343069,0.107685836,0.05543199,0.881085662,2
146,146,0.035421109,0.056567801,0.092224668,0.070606922,0.877460939,2
147,147,0.035909737,0.050348864,0.084606312,0.077750885,0.89113674,2
148,148,0.035989694,0.053353321,0.095985731,0.071205348,0.885378334,2
149,149,0.036549396,0.056052176,0.09379622,0.071731041,0.881612997,2
